07:02:48 Tài khoản vừa đăng nhập. (Tài khoản: donpv, IP: 127.0.0.1, Nhóm Sub: 0)
23:10:37 [AccountInfo] Account disconnected (Account: donpv2, IpAddress: 127.0.0.1, GameServerCode: 1)
23:10:38 Tài khoản vừa đăng nhập. (Tài khoản: donpv2, IP: 127.0.0.1, Nhóm Sub: 0)
23:29:18 [AccountInfo] Account disconnected (Account: donpv2, IpAddress: 127.0.0.1, GameServerCode: 0)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot, IpAddress: 249.140.113.39, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot1, IpAddress: 253.64.128.184, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot10, IpAddress: 113.80.117.111, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot11, IpAddress: 117.210.254.95, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot12, IpAddress: 115.224.100.10, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot13, IpAddress: 207.126.224.215, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot14, IpAddress: 110.203.120.153, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot15, IpAddress: 187.229.72.97, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot16, IpAddress: 238.21.176.229, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot17, IpAddress: 212.68.138.226, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot18, IpAddress: 110.244.156.255, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot19, IpAddress: 181.102.48.136, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot2, IpAddress: 114.135.242.219, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot20, IpAddress: 150.29.194.20, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot21, IpAddress: 55.131.45.97, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot22, IpAddress: 114.179.251.118, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot23, IpAddress: 102.106.175.193, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot24, IpAddress: 14.73.216.252, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot25, IpAddress: 111.194.254.122, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot26, IpAddress: 175.93.161.182, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot27, IpAddress: 41.208.73.88, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot28, IpAddress: 238.80.130.16, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot29, IpAddress: 223.94.110.224, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot3, IpAddress: 32.168.3.249, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot30, IpAddress: 214.164.251.230, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot31, IpAddress: 133.87.36.41, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot32, IpAddress: 11.113.100.154, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot33, IpAddress: 2.178.196.242, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot34, IpAddress: 140.120.192.160, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot35, IpAddress: 231.229.204.96, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot36, IpAddress: 99.85.175.143, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot37, IpAddress: 215.88.191.171, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot38, IpAddress: 17.218.40.71, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot39, IpAddress: 229.98.237.158, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot4, IpAddress: 79.7.133.61, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot40, IpAddress: 65.231.165.240, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot41, IpAddress: 183.30.151.121, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot42, IpAddress: 210.116.38.169, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot43, IpAddress: 202.39.171.107, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot44, IpAddress: 74.212.217.52, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot45, IpAddress: 91.191.111.12, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot46, IpAddress: 167.159.148.41, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot47, IpAddress: 74.114.244.55, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot48, IpAddress: 60.241.151.247, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot49, IpAddress: 77.206.21.233, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot5, IpAddress: 163.52.35.100, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot50, IpAddress: 58.32.156.53, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot6, IpAddress: 48.93.217.163, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot7, IpAddress: 26.150.94.92, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot8, IpAddress: 209.111.44.173, GameServerCode: 1)
23:29:27 [AccountInfo] Account disconnected by clear (Account: bot9, IpAddress: 172.13.46.5, GameServerCode: 1)
